Current Official Name of Satellite;Country/Org of UN Registry;Country of Operator/Owner;Operator/Owner;Users;Purpose
Gonets M-16;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets M-17;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets M-18;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets M-19;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets M-20;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets-M-24;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets M-25;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets M-26;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets M-27;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets M-28;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets M-29;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets M-30;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets M-31;Russia;Russia;Gonets Satcom;Commercial;Communications
Gonets M-32;Russia;Russia;Gonets Satcom;Commercial;Communications
GOSAT-2;Japan;Japan;JAXA, Ministry of Environment, National Institute of Environmental Studies;Government;Earth Observation
Gossamer Piccolomini;NR (4/22);USA;Lunasonde;Commercial;Earth Observation
GovSat-1;Luxembourg;Luxembourg;LuxGovSat;Government/Military;Communications
GPM Core Observatory;NR;USA/Japan;National Aeronautics and Space Administration (NASA)/JAXA;Government;Earth Observation
Grace Follow-on-1;USA;USA/Germany;NASA/German Research Centre for Geosciences (GFZ);Government;Earth Observation
Grace Follow-on-2;USA;USA/Germany;NASA/German Research Centre for Geosciences (GFZ);Government;Earth Observation
Ibuki;Japan;Japan;Japan Aerospace Exploration Agency (JAXA);Government;Earth Observation
GRUS-1A;Japan;Japan;Axelspace;Commercial;Earth Observation
GRUS-1B;Japan;Japan;Axelspace;Commercial;Earth Observation
GRUS-1C;Japan;Japan;Axelspace;Commercial;Earth Observation
GRUS-1D;Japan;Japan;Axelspace;Commercial;Earth Observation
GRUS-1E;Japan;Japan;Axelspace;Commercial;Earth Observation
GSAT-10;India;India;Indian Space Research Organization (ISRO);Government;Communications
GSAT-11;India;India;Indian Space Research Organization (ISRO);Government;Communications
GSAT-12;India;India;Indian Space Research Organization (ISRO);Government;Communications
GSAT-14;India;India;Indian Space Research Organization (ISRO);Government;Communications
GSAT-15;India;India;Indian Space Research Organization (ISRO);Government;Communications
GSAT-16;Inda;India;Indian Space Research Organization (ISRO);Government;Communications
GSAT-17;India;India;Indian Space Research Organization (ISRO);Government;Communications
GSAT-18;India;India;Indian Space Research Organization (ISRO);Government;Communications
GSAT-19E;India;India;Indian Space Research Organization (ISRO);Government;Communications
GSAT-29;India;India;Indian Space Research Organization (ISRO);Government;Communications
GSAT-30;India;India;Indian Space Research Organization (ISRO);Government;Communications
GSAT-31;India;India;Indian Space Research Organization (ISRO);Government;Communications
GSAT-6;NR;India;Indian Space Research Organization (ISRO);Government/Commercial;Communications
GSAT-7;India;India;Indian Navy;Military;Communications
GSAT-7A;India;India;Indian Air Force;Military;Communications
GSAT-8;India;India;Indian Space Research Organization (ISRO);Government;Communications/Navigation
USA 254;USA;USA;Air Force Satellite Control Network;Military;Space Observation
USA 270;USA;USA;Air Force Satellite Control Network;Military;Space Observation
USA 271;USA;USA;Air Force Satellite Control Network;Military;Space Observation
USA 324;NR (4/22);USA;Air Force Satellite Control Network;Military;Space Observation
USA 325;NR (4/22);USA;Air Force Satellite Control Network;Military;Space Observation
GuarantiSat-1;Paraguay;Paraguay;Paraguayan Space Agency/Kyushu Institute of Technology;Government;Earth Science
Gunsmoke-J1     ;USA;USA;U.S. Army’s Space and Missile Defense Command;Military;Earth Observation
Gunsmoke-J2;USA;USA;U.S. Army’s Space and Missile Defense Command;Military;Earth Observation
Gunsmoke-J4;USA;USA;Department of Defense/Army Space and Missile Defense Command;Military;Earth Observation
Hainan-1-01;NR (4/22);China;Sanya Institute of Remote Sensing;Government;Earth Observation
Hainan-1-02;NR (4/22);China;Sanya Institute of Remote Sensing;Government;Earth Observation
Haisi-2;NR (9/21);China;Xiamen University/Aerospace Dongfanghong Satellite Co. Ltd. {CASC);Government/Civil;Earth Observation
Haiyang 1C;China;China;State Oceanic Administration (SOA);Government;Earth Observation
Haiyang 1D;China;China;State Oceanic Administration (SOA);Government;Earth Observation
Haiyang 2A;China;China;State Oceanic Administration (SOA);Government;Earth Observation
Haiyang 2B;China;China;State Oceanic Administration (SOA);Government;Earth Observation
Haiyang 2C;China;China;State Oceanic Administration (SOA);Government;Earth Observation
Haiyang 2D;NR (9/21);China;State Oceanic Administration (SOA);Government;Earth Observation
Halo-NET Free Flyer;NR (9/21);USA;Department of Defense/Space Test Program;Military;Communications
Hangsheng 1;NR (5/21);China;Hunan Hangsheng Satellite Technology Co., Ltd.;Commercial;Technology Development
Harbinger;USA;USA;US Army Space and Missile Defense Command;Military;Technology Development
Hawk-2A;USA;USA;HawkEye 360;Commercial;Surveillance
Hawk-2B;USA;USA;HawkEye 360;Commercial;Surveillance
Hawk-2C;USA;USA;HawkEye 360;Commercial;Surveillance
Hawk-3A;NR (9/21);USA;HawkEye 360;Commercial;Surveillance
Hawk-3B;NR (9/21);USA;HawkEye 360;Commercial;Surveillance
Hawk-3C;NR (9/21);USA;HawkEye 360;Commercial;Surveillance
Hawk-4A;NR (4/22);USA;HawkEye 360;Commercial;Surveillance
Hawk-4B;NR (4/22);USA;HawkEye 360;Commercial;Surveillance
Hawk-4C;NR (4/22);USA;HawkEye 360;Commercial;Surveillance
Hawk-A;NR;USA;HawkEye 360;Commercial;Surveillance
Hawk-B;NR;USA;HawkEye 360;Commercial;Surveillance
Hawk-C;NR;USA;HawkEye 360;Commercial;Surveillance
HEAD-1;NR;China;HEAD Aerospace;Commercial;Earth Observation
HEAD-2A;China;China;HEAD Aerospace;Commercial;Earth Observation
HEAD-2B;China;China;HEAD Aerospace;Commercial;Earth Observation
HEAD-2E;NR (1/22);China;HEAD Aerospace;Commercial;Earth Observation
HEAD-2F;NR (1/22);China;HEAD Aerospace;Commercial;Earth Observation
HEAD-4;China;China;HEAD Aerospace;Commercial;Earth Observation
HEAD-5;China;China;HEAD Aerospace;Commercial;Earth Observation
Helios 2A;NR;France/Italy/Belgium/Spain/Greece;Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA);Military;Earth Observation
Helios 2B;France;France/Italy/Belgium/Spain/Greece;Centre National d'Etudes Spatiales (CNES)/Délégation Générale de l'Armement (DGA);Military;Earth Observation
HellasSat-2;Greece;Greece;Hellas-Sat Consortium Ltd.;Commercial;Communications
HellasSat-3;NR;Greece/United Kingdom;Hellas-Sat Consortium Ltd./INMARSAT;Commercial;Communications
Hellas-Sat 4;NR;Greece;Hellas-Sat Consortium Ltd.;Commercial/Government;Communications
RHESSI;USA;USA;Space Sciences Laboratory, UC Berkeley/NASA;Government/Civil;Space Science
Hibari;NR (1/22);Japan;Tokyo Institute of Technology;Civil;Technology Demonstration
Hiber-1;NR;Netherlands;Hiber Global;Commercial;Technology Development
Hiber-2;NR;Netherlands;Hiber Global;Commercial;Technology Development
Hiber-3;NR (5/21);Netherlands;Hiber Global;Commercial;Technology Development
Hiber-4;NR (5/21);Netherlands;Hiber Global;Commercial;Technology Development
Himawari 8;Japan;Japan;Japan Meteorological Agency/Meteorological Satellite Center (MSC);Government;Earth Observation
Himawari 9;Japan;Japan;Japan Meteorological Agency/Meteorological Satellite Center (MSC);Government;Earth Observation
Hinode;Japan;Multinational;Institute of Space and Aeronautical Science/NASA;Government;Space Science
Hisaki;Japan;Japan;Japan Aerospace Exploration Agency (JAXA);Government;Space Science
Hisea-1;China;China;Spacety;Commercial;Earth Observation
Hispasat 1D;Spain;Spain;Hispasat;Government/Commercial/Military;Communications
Hispasat 1E;NR;Spain;Hispasat;Commercial;Communications
Hispasat 30W-6;NR;Spain;Hispasat;Commercial;Communications
Hispasat 36W-1;Spain;Spain;Hispasat;Commercial;Communications
HJ-1A;China;China;National Remote Sensing Center (NRSCC);Government;Earth Observation
HJ-1B;China;China;National Remote Sensing Center (NRSCC);Government;Earth Observation
HJ-1C;China;China;National Committee for Disaster Reduction and State Environmental Protection;Government;Earth Observation
HJ-2A;China;China;China Centre for Resources Satellite Data and Application (CRESDA);Government;Earth Observation
HJ-2B;China;China;China Centre for Resources Satellite Data and Application (CRESDA);Government;Earth Observation
Hodoyoshi-3;Japan;Japan;University of Tokyo and NESTRA;Government;Technology Development
Hodoyoshi-4;Japan;Japan;University of Tokyo and NESTRA;Government;Technology Development
Hongyan-1;China;China;China Aerospace Science and Technology Corporation (CASC);Government;Communications
Hongyun-1;NR;China;China Aerospace Science and Industry Corporation (CASIC);Commercial;Technology Development
Horizons 2;USA;USA/Japan;Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation);Commercial;Communications
Horizons 3e;NR;USA/Japan;Horizons 2 Satellite, LLC (Intelsat, Sky Perfect JSAT Corporation);Commercial;Communications
Horyu-2;Japan;Japan;Kyushu Institute of Technology (KIT);Civil;Technology Development
HSAT-1;NR;USA;Harris Corporation;Commercial;Communications
Huangpu-1;China;China;Shanghai Lizheng Satellite Application Technology;Commercial;Communications
Hubble Space Telescope;USA;ESA/USA;European Space Agency (ESA)/NASA;Government;Space Science
Huia'an;China;China;Huaian Youth Comprehensive Development Base;Civil;Technology Development
HXMT;China;China;National Space Science Center (NSSC);Government;Space Science
HYLAS 1;United Kingdom;United Kingdom;Avanti Communications, PLC;Commercial;Communications
HYLAS 2;United Kingdom;United Kingdom;Avanti Communications, PLC;Commercial;Communications
HYLAS 4;United Kingdom;United Kingdom;Avanti Communications, PLC;Commercial;Communications
HySIS;India;India;Indian Space Research Organization (ISRO);Government;Earth Observation
Icesat-2;USA;USA;National Aeronautics and Space Administration (NASA);Government;Earth Science
ICEYE-X1;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X10 ;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X11;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X12;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X13;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X14;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X15;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X16;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X2;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X4;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X5;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X6;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X7;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X8;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICEYE-X9;Finland;Finland;ICEYE Ltd.;Commercial;Earth Observation
ICON;USA;USA;National Aeronautics and Space Administration (NASA);Government;Space Science
IGS Optical 5;NR;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation
IGS Optical 6;Japan;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation
IGS Optical 7;Japan;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation
IGS Radar 5;Japan;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation
IGS Radar 6;Japan;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation
IGS-5A;Japan;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation
IGS-6A;Japan;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation
IGS-7A;Japan;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation
IGS-8A;Japan;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation
IGS-8B;Japan;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation
IGS-9A;Japan;Japan;Cabinet Satellite Intelligence Center (CSIC);Government;Earth Observation
USA 184;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 200;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 259;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
USA 278;USA;USA;National Reconnaissance Office (NRO);Military;Earth Observation
INMARSAT 3 F3;NR;United Kingdom;INMARSAT, Ltd.;Commercial;Communications
INMARSAT 3 F5;NR;United Kingdom;INMARSAT, Ltd.;Commercial;Communications
INMARSAT 4 F1;United Kingdom;United Kingdom;INMARSAT, Ltd.;Commercial;Communications
INMARSAT 4 F2;United Kingdom;United Kingdom;INMARSAT, Ltd.;Commercial;Communications
INMARSAT 4 F3;United Kingdom;United Kingdom;INMARSAT, Ltd.;Commercial;Communications
INMARSAT 4-A F4;United Kingdom;United Kingdom/ESA;INMARSAT, Ltd./European Space Agency (ESA);Government/Commercial;Communications/Technology Development
INMARSAT 5 F1;United Kingdom;United Kingdom;INMARSAT, Ltd.;Commercial;Communications
INMARSAT 5 F2;United Kingdom;United Kingdom;INMARSAT, Ltd.;Commercial;Communications
INMARSAT 5 F3;United Kingdom;United Kingdom;INMARSAT, Ltd.;Commercial;Communications
INMARSAT 5 F4;United Kingdom;United Kingdom;INMARSAT, Ltd.;Commercial;Communications
INMARSAT 5 F5;United Kingdom;United Kingdom;INMARSAT, Ltd.;Commercial;Communications
INMARSAT 6 F1;NR (1/22);United Kingdom;INMARSAT,Ltd.;Commercial;Communications
INNOSat-2;NR;Malaysia;Astronautic Technology Sdn. Bhd (ATSB);Government;Technology Development
INS-1A;India;India;Indian Space Research Organization (ISRO);Government;Earth Observation
INS-1B;India;India;Indian Space Research Organization (ISRO);Government;Earth Observation
INS-1C;NR;India;Indian Space Research Organization (ISRO);Government;Technology Development
INS-2TD;NR (4/22);India;Indian Space Research Organization (ISRO);Government;Earth Observation
INSAT 3D;India;India;Indian Space Research Organization (ISRO);Government;Earth Observation
INSAT 3DR;NR;India;Indian Space Research Organization (ISRO);Government;Earth Observation
Inspire-Sat-1;NR (4/22);USA/India/Singapore/Taiwan;University of Colorado’s Laboratory for Atmospheric and Space Physics/Indian Institute of Space Science and Technology;Civil/Government;Earth Science
INTEGRAL;ESA;ESA/USA/Russia;European Space Operations Centre (ESOC)/NASA/Russia;Government;Space Science
Intelsat 10;USA;USA;PanAmSat (Intelsat S.A.);Commercial;Communications
Intelsat 10-02;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 11;USA;USA;PanAmSat (Intelsat S.A.);Commercial;Communications
Intelsat 12;United Kingdom;USA;Intelsat S.A.;Commercial;Communications
Intelsat 14;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 15;USA;USA;Intelsat S.A./Sky Perfect JSAT Corp.;Commercial;Communications
Intelsat 16;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 17;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 18;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 19;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 1R;USA;USA;PanAmSat (Intelsat S.A.);Commercial;Communications
Intelsat 20;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 21;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 22;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 23;NR;USA;Intelsat S.A.;Commercial;Communications
Intelsat 25;NR;USA;Intelsat S.A.;Commercial;Communications
Intelsat 30/DLA 1;NR;USA;Intelsat S.A.;Commercial;Communications
Intelsat 31/DLA 2;NR;USA;Intelsat S.A.;Commercial;Communications
Intelsat 33;NR;USA;Intelsat S.A.;Commercial;Communications
Intelsat 34;NR;USA;Intelsat S.A.;Commercial;Communications
Intelsat 35E;NR;USA;Intelsat S.A.;Commercial;Communications
Intelsat 36;NR;USA;Intelsat S.A.;Commercial;Communications
Intelsat 37E;NR;USA;Intelsat S.A.;Commercial;Communications
Intelsat 39;NR;USA;Intelsat S.A.;Commercial;Communications
Intelsat 5;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 9;USA;USA;PanAmSat (Intelsat S.A.);Commercial;Communications
Intelsat 901;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 902;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 904;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 905;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat 906;USA;USA;Intelsat S.A.;Commercial;Communications
Intelsat New Dawn;NR;USA;Intelsat S.A.;Commercial;Communications
International Space Station;USA;Multinational;National Aeronautics and Space Administration (NASA)/Multinational;Government;Space Science
Interstellar Boundary Explorer;USA;USA;National Aeronautics and Space Administration (NASA)/Goddard Space Flight Center;Government;Space Science
ION SVC Lucas;NR (12/20);Italy;D-Orbit;Commercial;Technology Demonstration
Iridium Next 102;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 103;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 104;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 105;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 106;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 107;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 108;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 109;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 110;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 111;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 112;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 113;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 114;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 115;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 116;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 117;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 118;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 119;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 120;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 121;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 122;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 123;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 124;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 125;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 126;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 127;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 128;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 129;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 130;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 131;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 132;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 133;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 134;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 135;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 136;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 137;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 138;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 139;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 140;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 141;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium  Next 142;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 143;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 144;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 145;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 146;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 147;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iriidium Next 148;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 149;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 150;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 151;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 152;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 153;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 154;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 155;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 156;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 157;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 158;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridum Next 159;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 160;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 161;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 162;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 163;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 164;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 165;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 166;USA;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 167;NR;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 168;NR;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 169;NR;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 170;NR;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 171;NR;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 172;NR;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 173;NR;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 175;NR;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 176;NR;USA;Iridium Communications, Inc.;Government/Commercial;Communications
Iridium Next 180;NR;USA;Iridium Communications, Inc.;Government/Commercial;Communications
IRIS;USA;USA;National Aeronautics and Space Administration (NASA);Government;Space Science
IRNSS-1A;India;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning
IRNSS-1B;India;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning
IRNSS-1C;NR;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning
IRNSS-1D;NR;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning
IRNSS-1E;NR;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning
IRNSS-1F;India;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning
IRNSS-1G;India;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning
IRNSS-1I;India;India;Indian Space Research Organization (ISRO);Government;Navigation/Regional Positioning
IRS-P6;India;India;Indian Space Research Organization (ISRO);Government;Earth Observation
ISARA;USA;USA;NASA Small Satellite Technology Program;Government;Technology Development
iSat;Germany;Czech Republic;iSky Technology;Commercial;Communications
ISX;NR;USA;NASA/CalPoly;Government/Civil;Space Science
ITU-pSAT1;NR;Turkey;ITU Space Systems Design & Test Laboratory;Civil;Technology Development
IXPE;NR (1/22);USA;National Aeronautics and Space Administration (NASA);Government;Space Science
JAISAT-1;NR;Thailand;Radio Amateur Society of Thailand (RAST);Civil;Communications
Jason 3;USA;USA/France;National Aeronautics and Space Administration (NASA)/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT;Government;Earth Observation
JCSat 10;Japan;Japan;Sky Perfect JSAT Corporation;Commercial;Communications
JCSat 13;Japan;Japan;Sky Perfect JSAT Corporation;Commercial;Communications
JCSat 14;Japan;Japan;Sky Perfect JSAT Corporation;Commercial;Communications
JCSat 15;Japan;Japan;Sky Perfect JSAT Corporation;Commercial;Communications
JCSat 16;Japan;Japan;Sky Perfect JSAT Corporation;Commercial;Communications
JCSat 17;Japan;Japan;Sky Perfect JSAT Corporation;Commercial;Communications
JCSat18/Kacific 1;Japan;Japan/Singapore;Sky Perfect JSAT Corporation/Kacific;Commercial;Communications
JCSat 2A;Japan;Japan;Sky Perfect JSAT Corporation;Commercial;Communications
JCSat 9;Japan;Japan;Sky Perfect JSAT Corporation;Commercial;Communications
JCSat RA;Japan;Japan;Sky Perfect JSAT Corporation;Commercial;Communications
Jiading-1;China;China;Space OK (Shanghai Ok Space Co Ltd.);Commercial;Communications
Jilin-1;NR;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1;NR;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1;NR;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 02A;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 02B;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 02D ;NR (1/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin 1 Gaofen 02F;NR (1/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 03B-01 ;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 03B-02 ;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 03B-03 ;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 03B-04 ;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 03B-05 ;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 03B-06 ;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 03C-01 ;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 03C-02 ;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 Gaofen 03C-03 ;China;China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 03D 10;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 03D 11;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 03D 12;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 03D 13;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
Jilin-1 GaoFen 03D 14;NR (4/22);China;Chang Guang Satellite Technology Co. Ltd.;Commercial;Earth Observation
